month,business_unit,revenue_budget,revenue_actual,revenue_prior_year,cogs_budget,cogs_actual,payroll_budget,payroll_actual,social_charges_budget,social_charges_actual,bonus_budget,bonus_actual,opex_travel_budget,opex_travel_actual,opex_marketing_budget,opex_marketing_actual,opex_it_budget,opex_it_actual,opex_facilities_budget,opex_facilities_actual,opex_ga_budget,opex_ga_actual,depreciation_budget,depreciation_actual
2025-01-01,Government & Institutions,606666.67,600275.74,630319.0,424666.67,409974.84,97850.0,94790.27,45011.0,43062.29,17613.0,17042.59,1820.0,1944.81,3640.0,3512.25,15300.0,14048.73,16443.0,16419.28,11220.0,11430.87,4120.0,4117.77
2025-02-01,Government & Institutions,695603.13,734835.8,631614.73,486922.19,490921.51,98091.32,95155.18,45122.01,43755.95,17656.44,17319.8,1880.0,1706.5,3760.0,4309.4,15325.0,15671.45,16463.25,16652.74,11238.33,10724.23,4130.0,4146.95
2025-03-01,Government & Institutions,785115.39,740357.5,742185.99,549580.78,506646.25,98333.24,99213.94,45233.29,46098.04,17699.98,17397.56,1940.0,1951.31,3880.0,4092.91,15350.0,15119.54,16483.5,16552.27,11256.67,10944.02,4140.0,4183.9
2025-04-01,Government & Institutions,1006487.23,1014444.47,959348.17,704541.06,721157.15,98575.76,100166.79,45344.85,46602.58,17743.64,15520.29,2090.0,1751.45,4180.0,3240.64,15375.0,16607.15,16503.75,16797.78,11275.0,11228.94,4150.0,4128.84
2025-05-01,Government & Institutions,1097589.35,1041578.11,1119357.44,768312.55,701984.38,98818.87,99014.61,45456.68,45131.44,17787.4,17084.92,2150.0,2350.13,4300.0,5072.97,15400.0,16036.08,16524.0,16431.87,11293.33,11312.72,4160.0,4157.26
2025-06-01,Government & Institutions,1057135.27,1009927.28,929788.48,739994.69,707111.0,99062.59,98469.67,45568.79,44709.55,17831.27,16569.32,2120.0,1904.81,4240.0,5108.67,15425.0,17627.9,16544.25,16826.18,11311.67,10379.5,4170.0,4168.12
2025-07-01,Government & Institutions,751255.54,716665.84,696577.33,525878.88,510244.77,99306.9,100577.29,45681.18,46389.73,17875.24,19039.31,1910.0,1994.53,3820.0,4297.37,15450.0,16235.32,16564.5,16748.37,11330.0,11774.65,4180.0,4182.06
2025-08-01,Government & Institutions,532034.09,548976.88,507301.46,372423.86,386903.03,99551.82,96000.59,45793.84,43981.93,17919.33,19499.11,1760.0,1774.72,3520.0,3324.22,15475.0,13890.56,16584.75,17003.14,11348.33,10927.72,4190.0,4161.58
2025-09-01,Government & Institutions,845145.06,918207.66,844771.32,591601.54,660218.01,99797.34,100306.74,45906.78,45928.08,17963.52,18265.98,1970.0,2236.07,3940.0,3944.75,15500.0,15751.47,16605.0,16332.64,11366.67,11980.49,4200.0,4190.07
2025-10-01,Government & Institutions,1071046.54,1092306.35,913902.53,749732.58,765537.88,100043.47,97437.03,46020.0,44094.66,18007.82,18310.25,2120.0,2109.15,4240.0,4206.19,15525.0,17757.57,16625.25,16848.25,11385.0,11179.28,4210.0,4187.5
2025-11-01,Government & Institutions,1164098.94,1164765.12,1181614.48,814869.26,819392.49,100290.2,100378.89,46133.49,45752.83,18052.24,18210.17,2180.0,2135.76,4360.0,3888.06,15550.0,15362.09,16645.5,16459.21,11403.33,10597.05,4220.0,4251.11
2025-12-01,Government & Institutions,988231.45,926451.4,976759.84,691762.02,655146.69,100537.55,101324.28,46247.27,46530.12,18096.76,18286.59,2060.0,1691.94,4120.0,4069.45,15575.0,16815.64,16665.75,16930.54,11421.67,11899.74,4230.0,4214.12
2026-01-01,Government & Institutions,630933.33,663295.07,600275.74,441653.33,464667.9,100785.5,99082.13,46361.33,45604.48,18141.39,17739.85,1820.0,1622.77,3640.0,3765.44,15600.0,16073.34,16686.0,17008.21,11440.0,11658.27,4240.0,4291.78
2026-02-01,Government & Institutions,723427.25,763215.01,734835.8,506399.08,532837.65,101034.06,98519.92,46475.67,44819.86,18186.13,17656.59,1880.0,1820.01,3760.0,3841.68,15625.0,15372.4,16706.25,16561.43,11458.33,12426.65,4250.0,4230.8
2026-03-01,Government & Institutions,816520.01,826844.28,740357.5,571564.01,572957.28,101283.24,100010.99,46590.29,46746.61,18230.98,18085.42,1940.0,2000.42,3880.0,3724.03,15650.0,15955.62,16726.5,16795.05,11476.67,11948.69,4260.0,4271.92
2026-04-01,Government & Institutions,1046746.72,987112.04,1014444.47,732722.7,684327.88,101533.03,104452.67,46705.2,48200.55,18275.95,17794.73,2090.0,1847.13,4180.0,3295.24,15675.0,13340.25,16746.75,16754.06,11495.0,11426.4,4270.0,4284.6
2026-05-01,Government & Institutions,1141492.93,1143257.52,1041578.11,799045.05,798397.83,101783.44,104255.13,46820.38,47772.08,18321.02,17542.39,2150.0,1575.34,4300.0,4470.25,15700.0,17661.17,16767.0,16483.36,11513.33,11060.93,4280.0,4310.25
2026-06-01,Government & Institutions,1099421.0,1078542.33,1009927.28,769594.48,743611.27,102034.47,100209.38,46935.85,46831.82,18366.2,17259.09,2120.0,2050.83,4240.0,4845.25,15725.0,18036.43,16787.25,16702.66,11531.67,11521.43,4290.0,4316.62
